Name|Damage|CriticalRange|CriticalDamage|DamageType|Range|Size|Cost|Weight|Type|Desscription|
Fan|+2|20|+4|Slashing|-|Small|9|2 lb.|Ninja|Appearing as little more than a fashionable accessory, this weapon is in reality made of carefully-forged steel. The ribs of the fan end in sharp blades and can deliver deadly slashes. In addition, the fan can readily catch weapons, then fold up around their blades or hafts to wrench them from their users.</p><p>A user with <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> can use a fan to <a href="CombatActions.php?Name=Disarm">disarm</a> opponents with a +3 bonus. This benefit stacks with that of the <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feat.</p><p>A user with <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> can also use a fan to make a <a href="CombatModifiers.php?Name=Surprise%20Attack">surprise attack</a> against a target that is aware of the user, provided they are not aware that the fan is a weapon.</p><p>Finally, a user with <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> gains a +2 to their <a href="Combat.php#Parry">Parry</a> when using a fan.|
Flail|+3|20|+3|Bludgeoning|-|Med|8|5 lb.|Martial|With a flail, you can make <a href="CombatActions.php?Name=Trip">trip</a> attacks and <a href="CombatActions.php?Name=Disarm">disarm</a> opponents with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Trip">Improved Trip</a> and <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feats. Its benefits stack if you already have those feats.|
Flail, heavy|+4|20|+3|Bludgeoning|-|Large|11|10 lb.|Martial|With a flail, you can make <a href="CombatActions.php?Name=Trip">trip</a> attacks and <a href="CombatActions.php?Name=Disarm">disarm</a> opponents with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Trip">Improved Trip</a> and <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feats. Its benefits stack if you already have those feats.|
Greataxe|+5|20|+3|Slashing|-|Large|11|12 lb.|Martial|A big heavy axe favoured by those who favour big heavy axes.|
Greatsword|+4|19-20|+3|Slashing|-|Large|11|8 lb.|Martial|An enormous sword. Use these stats for any two-handed bladed weapon (including freaking katanas). To use one of these weapons one-handed requires an <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (greatsword) feat.|
Handaxe|+1|20|+3|Slashing|10 ft.|Small|5|2 lb.|Martial|A small axe like a hatchet or a tomahawk.|
Kakute|+0|20|+1|Piercing|-|Tiny|4|0 lb.|Ninja|Nothing more than a ring with a single protruding needle, kakute deal almost no damage but provide an excellent means of delivering <a href="EquipmentPoisons.php">poison</a>. Kakute can be used in a <a href="CombatActions.php?Name=Grapple">grapple</a>, and provide an additional +2 bonus to all <a href="CombatActions.php?Name=Grapple">grapple</a> attempts to damage or pin (but not throw or escape).|
Knife/Dagger|+1|19-20|+3|Piercing|10 ft.|Tiny|7|1 lb.|Simple|Any bladed weapon with a length of less than 18 inches. This includes knifes, stilettos, switchblades, bowie knives and hunting knives. Not butter knives.|
Kukri|+1|18-20|+3|Slashing|-|Small|7|2 lb.|Martial|This heavy, curved knife has its sharp edge on the inside of the curve, which is just really unfair.|
Kusari-gama|+2/+1|20|+3|Slashing or Bludgeoning|-|Large|7|8 lb.|Ninja|A 12-foot-long chain with a sickle on one end and a heavy weight on the other, a kusari-gama is a bizarre but deadly weapon in trained hands. A kusari-gama can strike targets up to 10ft away. A user with the <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> feat can use a kusari-gama to make <a href="CombatActions.php?Name=Trip">trip</a> attacks and to <a href="CombatActions.php?Name=Disarm">disarm</a> opponents with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Trip">Improved Trip</a> and <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feats. Its benefits stack if the user already has those feats.</p><p>A user with the <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> feat can also use a kusari-gama to make an entangling attack. To do so, the user makes a ranged attack against their target at a maximum range of 10 feet. If the attack hits, the target is <a href="PlayingConditions.php?Name=Entangled">entangled</a>, but takes no damage from the kusari-gama. If the user maintains their hold on the other end of the kusari-gama, the entangled creature must remain within the limits of the weapon (10 feet from the user) unless they can succeed on an opposed Strength check. The target must succeed at a Difficulty 15 <a href="Skills.php?Name=Concentration">Concentration</a> check to use any supernatural powers.</p><p>An entangled creature can escape with a Difficulty 20 <a href="Skills.php?Name=Escape%20Artist">Escape Artist</a> check (a full-round action). The kusari-gama has a +6 Toughness and can be burst with a 26 Strength check (also a full-round action).</p><p>A kusari-gama being used to entangle a creature cannot be used to make any other attacks. The user can release the entangled creature at any time, as a move action.</p><p>A kusari-gama can also be used to assist in climbing, just like a grappling hook.|
Longspear|+3|19-20|+4|Piercing|-|Large|6|9 lb.|Simple|A longspear has reach. You can strike opponents 10 feet away with it, but you can't use it against an adjacent opponent unless you have <a href="Feats.php?Name=Martial%20Weapon%20Training">Martial Weapon Training</a> (in which case you can use it against opponents adjacent to you and up to 10 feet away). If you use a <a href="CombatActions.php?name=Ready">ready action</a> to set a longspear against a charge, you deal +4 damage on a successful hit against a charging character. You may use a longspear with one hand when mounted.|
Mace, heavy|+3|20|+3|Bludgeoning|-|Med|7|8 lb.|Simple|A mace has a sturdy wooden handle capped by a flanged metal head.|
Mace, light|+2|20|+3|Bludgeoning|-|Small|6|4 lb.|Simple|A mace has a sturdy wooden handle capped by a flanged metal head.|
Machete|+3|20|+3|Slashing|-|Med|8|5 lb.|Martial|A crudely made one-handed bladed weapon, a machete can still dish out serious amounts of damage.|
Manriki-gusari|+2|20|+3|Bludgeoning|-|Med|7|3 lb.|Ninja|A manriki-gusari is a 3-foot-long chain, weighted at either end. <a href="Skills.php?Name=Sleight+of+Hand">Sleigh of Hand</a> checks for purposes of concealing it suffer no penalties due to size, as it can be rolled up and kept inconspicuously. A user with the <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> feat can use a manriki-gusari to make <a href="CombatActions.php?Name=Trip">trip</a> attacks and to <a href="CombatActions.php?Name=Disarm">disarm</a> opponents with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Trip">Improved Trip</a> and <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feats. Its benefits stack if the user already has those feats.|
Maul|+4|20|+4|Bludgeoning|-|Large|10|10 lb.|Martial|A massive hammer, the maul grants a +2 bonus to <a href="CombatActions.php?Name=Sunder">Sunder</a> attempts. This bonus stacks with the <a href="Feats.php?Name=Improved%20Sunder">Improved Sunder</a> feat.|
Meteor Hammer|+2|20|+3|Bludgeoning|-|Medium|8|6 lb.|Exotic|This is the heavier version of the <a href="EquipmentWeapons.php?Name=Rope%20Dagger">rope dagger</a>, with a solid mass of iron on the end of a long rope that the user whirls and whips about themself, striking opponent from unpredictable directions. The meteor hammer can strike opponents up to fifteen feet away. The user must be able to spin and whirl about the battlefield to use this weapon effectively. A meteor hammer requires two hands to wield, and this weapon cannot be used to <a href="Combat.php#Parry">parry</a>. </p><p>A user with <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (meteor hammer) can use a meteor  to make <a href="CombatActions.php?Name=Trip">trip</a> attacks and to <a href="CombatActions.php?Name=Disarm">disarm</a> opponents with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Trip">Improved Trip</a> and <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feats. Its benefits stack if the user already has those feats. Furthermore, a user with <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (meteor hammer) gains a +2 bonus on all <a href="CombatActions.php?Name=Feint">feint</a> attempts when using the meteor hammer.
Morningstar|+3|20|+3|Bludgeoning and Piercing|-|Med|7|6 lb.|Simple|This weapon combines the impact of a club with the piercing power of metal spikes.|
Nekote|+0|20|+1|Slashing|-|Tiny|4|1 lb.|Ninja|The nekote are a set of iron fingernails strapped to the fingers, resembling claws. Although they deal very little damage, the claws are suitable for <a href="EquipmentPoisons.php">poisoning</a>, and with a successful <a href="Skills.php?Name=Disguise">Disguise</a> check, the nekote are indistinguishable from normal (though long and glamourous) fingernails. Nekote can be used in a <a href="CombatActions.php?Name=Grapple">grapple</a> or in conjunction with the <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> feat.|
Ninja-to|+3|19-20|+3|Slashing|-|Med|11|4 lb.|Ninja|The standard issue straight-bladed sword of the ninja warrior, a ninja-to is the ninja equivalent of a utility belt. A ninja-to provides the ninja with many useful tricks, including hidden compartments in the hilt (for storing potions (holds two), <a href="EquipmentNinjaGear.php#Grenades">grenades</a> (holds three) or <a href="EquipmentWeapons.php?Name=Shuriken">shuriken</a> (holds five)), a sturdy coil of thin rope and projecting hooks (allowing the ninja-to to act as a grappling hook), and a hollow sheath that act as a blowgun or a breathing tube for remaining hidden underwater. These weapons are never found for sale - losing one's sword is a serious crime amongst nearly all ninja clans.|
Nunchaku|+2|20|+3|Bludgeoning|-|Small|3|2 lb.|Ninja|This is a popular martial arts weapon, made of two wooden shafts connected by a short length of rope or chain. A user with <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> gains a +2 bonus to their <a href="Combat.php#Parry">Parry</a> when using nunchaku.|
Palm Claws|+1|20|+2|Piercing|-|Tiny|3|1 lb.|Ninja|These metal claws fit inside the hand, and add damage to unarmed attacks. They may be used in a grapple or in conjunction with the <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> feat. They also provide a +2 bonus to <a href="Skills.php?Name=Climb">Climb</a> checks, and to <a href="Skills.php?Name=Sleight%20of%20Hand">Sleight of Hand</a> checks made to conceal them.</p><p>Palm claws can be used in combination with <a href="EquipmentWeapons.php?Name=Armoured%20Gloves">armoured gloves</a>, incurring no attack penalty due to the gloves' bulkiness.|
Pick|+2|20|+5|Piercing|-|Med|8|6 lb.|Martial|A hafted weapon with a piercing point set out from one side of the edge, a pick delivers mortal wounds when it solidly connects.|
Pitchfork|+2|20|+4|Piercing|-|Large|4|6 lb.|Simple|This farming tool can make a handy improvised weapon.|
Polearm|+3|20|+4|Piercing or Slashing|-|Large|8|12 lb.|Martial|Any of a number of weapons consisting of a bladed metal head on a pole. Polearms have reach. You can strike opponents 10 feet away with it, but you can't use it against an adjacent opponent unless you have <a href="Feats.php?Name=Martial%20Weapon%20Training">Martial Weapons Training</a> (in which case you can use it against opponents adjacent to you and up to 10 feet away).|
Punching Dagger|+1|20|+4|Piercing|-|Tiny|8|1 lb.|Simple|These piercing daggers can be used in conjunction with the <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> feat.|
Rapier|+2|18-20|+3|Piercing|-|Med|12|2 lb.|Martial|Any light one-handed piercing weapon. What the classy guys use.|
Raptor Claws|+3|20|+3|Slashing|-|Small|12|3 lb.|Exotic|Savage-looking weapons, raptor claws are heavy gauntlets, usually of bronze, with a number of the deadly killing claws of a velociraptor mounted on the upper plate, making for an effective slashing attack. Raptor claws cannot be removed from the wearer with a <a href="CombatActions.php?Name=Disarm">disarm</a> attempt.</p><p>Raptor claws can be used in a <a href="CombatActions.php?Name=Grapple">grapple</a>, or in conjunction with the <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> feat. Note that unlike other <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> weapons, raptor claws cannot be used in combination with other weapons.</p><p>A character with <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (raptor claws) can use these weapons to make <a href="CombatActions.php?Name=Disarm">disarm</a> attempts with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feat. Its benefits stack if the user already has those feats.|
Rope Dagger|+1|20|+3|Piercing|-|Small|4|3 lb.|Exotic|A long rope tipped with a razor-sharp piercing blade, the rope dagger can strike opponents up to ten feet away. The user must be able to spin and whirl about the battlefield to use this weapon effectively. A rope dagger requires two hands to wield, and this weapon cannot be used to <a href="Combat.php#Parry">parry</a>.</p><p>A user with <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (rope dagger) can use a rope dagger  to make <a href="CombatActions.php?Name=Trip">trip</a> attacks and to <a href="CombatActions.php?Name=Disarm">disarm</a> opponents with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Trip">Improved Trip</a> and <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feats. Its benefits stack if the user already has those feats. Furthermore, a user with <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (rope dagger) gains a +2 bonus on all <a href="CombatActions.php?Name=Feint">feint</a> attempts when using the rope dagger.|
Sai|+1|20|+2|Bludgeoning|10ft|Small|4|3 lb.|Ninja|Sai are metal weapons that appear like large forks, with a long central tine and two smaller tines to either side. A character with <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> gains a +4 bonus to Disarm attempts when using a sai. This bonus stacks with the bonus granted by <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a>. Sai also provide a +2 to the user's <a href="Combat.php#Parry">Parry</a>.|
Sap|+2|20|+3|Bludgeoning|-|Small|2|1 lb.|Simple|A sap is a bludgeoning weapon intended to knock out targets without permanently injuring them. Saps inflict non-lethal damage. A sap cannot be used to Parry.|
Shikomi-zue (spear)|+3|19-20|+4|Piercing|-|Large|10|6 lb.|Ninja|A shikomi-zue appears to be an ordinary bamboo walking stick. In this form, it is strong enough to be used as <a href="EquipmentWeapons.php?Name=Shikomi-zue%20(staff)">a short staff</a>. But the bamboo cane also conceals a spear blade that can be extended from within the staff with a clever twisting mechanism, creating a more lethal weapon. Extending the blade is a standard action.</p><p>A user with <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> can extend the spear blade as a move action, and can also use the spring-loaded spear extension to make <a href="CombatModifiers.php?Name=Surprise%20Attack">surprise attacks</a> against targets that are already aware of the user's presence. If the shikomi-zue has not been extended before in front of the target, the user can make a <a href="Skills.php?Name=Bluff">Bluff</a> or <a href="Skills.php?Name=Sleight%20of%20Hand">Sleight of Hand</a> check as a free action. If the check is successful, the user extends the spear blade (a normal move action) and can make a <a href="CombatModifiers.php?Name=Surprise%20Attack">surprise attack</a> against that target on their next standard action.|
Shikomi-zue (staff)|+2|20|+3|Bludgeoning|-|Med|10|6 lb.|Ninja|A shikomi-zue appears to be an ordinary bamboo walking stick. In this form, it is strong enough to be used as a short staff. But the bamboo cane also conceals <a href="EquipmentWeapons.php?Name=Shikomi-zue%20(spear)">a spear blade</a> that can be extended from within the staff with a clever twisting mechanism, creating a more lethal weapon. Extending the blade is a standard action.</p><p>A user with <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> can extend the spear blade as a move action, and can also use the spring-loaded spear extension to make <a href="CombatModifiers.php?Name=Surprise%20Attack">surprise attacks</a> against targets that are already aware of the user's presence. If the shikomi-zue has not been extended before in front of the target, the user can make a <a href="Skills.php?Name=Bluff">Bluff</a> or <a href="Skills.php?Name=Sleight%20of%20Hand">Sleight of Hand</a> check as a free action. If the check is successful, the user extends the spear blade (a normal move action) and can make a <a href="CombatModifiers.php?Name=Surprise%20Attack">surprise attack</a> against that target on their next standard action.|
Spear|+3|19-20|+4|Piercing|20 ft.|Large|6|6 lb.|Simple|A spear is a bladed polearm. Most spears can also be thrown.|
Staff|+2|20|+3|Bludgeoning|-|Large|4|4 lb.|Simple|This is any fighting staff between 4 and 6 feet long, including the bo staff used by some ninja clans. A character with either the <a href="Feats.php?Name=Martial%20Weapon%20Training">Martial Weapon Training</a> or <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> feats gains a +2 bonus on all <a href="CombatActions.php?Name=Sunder">sunder</a> attempts made with a staff.|
Star Knife|+2|20|+4|Piercing|20ft|Small|6|2 lb.|Exotic|Four punching blades around a central handle, a star knife allows the wielder to strike in melee combat, or to throw the weapon for ranged attacks. A user with <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (star knife) receives a +2 to their <a href="Combat.php#Parry">Parry</a> when using a star knife.|
Sword|+3|19-20|+3|Slashing|-|Med|10|4 lb.|Martial|Any one-handed slashing weapon, including scimitars, cutlasses, longswords and those big spiky club-things with chunks of obsidian sticking out of them.|
Tonfa|+1|20|+3|Bludgeoning|-|Med|6|2 lb.|Simple|These versatile weapons consist of two parts: a handle and a perpendicular club-like shaft that lies along the hand and forearm. A user with <a href="Feats.php?Name=Martial%20Weapon%20Training">Martial Weapon Training</a> or <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> gains a +1 to their <a href="Combat.php#Parry">Parry</a> when using tonfa.
Urumi|+3|19-20|+3|Slashing|-|Medium|7|8 lb.|Exotic|Certain native tribes train with this bizarre but effective weapon, which is known as a "coiled sword". An urumi is a series of flexible, razor-edged steel strips emerging from a normal sword hilt. Using the weapon something like a whip, the user is able to cause horrible wounds with the many slashing blades.</p><p>An urumi cannot be used to <a href="Combat.php#Parry">parry</a>. It can be used to strike opponents up to ten feet away. Because it can be coiled up, it is treated as Small for the purposes of concealing it.</p><p>A user with <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (urumi) gains a +1 attack bonus against an opponent who is using either their <a href="Combat.php#Dodge">Dodge</a> or their <a href="Combat.php#Parry">Parry</a>; the urumi's many flailing edges makes both very difficult.|
Warhammer|+3|20|+4|Bludgeoning|-|Med|6|5 lb.|Martial|Basically, a really well-made club. A strong stick with a heavy bit at one end. Hit him with the heavy bit until he falls over.|
Whip|+0|20|+3|Bludgeoning|15 ft.|Small|4|2 lb.|Exotic|A whip can strike targets up to 15 feet away. You can use it to make <a href="CombatActions.php?Name=Trip">trip</a> attacks and to <a href="CombatActions.php?Name=Disarm">disarm</a> opponents with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Trip">Improved Trip</a> and <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feat. Its benefits stack if you have those feats. You do not add your Strength to damage done with a whip.|
Wrist Knife|+1|20|+3|Slashing|-|Tiny|4|1 lb.|Exotic|The wrist knife has an oval blade made from a flat piece of iron. It is worn around the wrist like a bracelet. The outside edge of the weapon is sharpened, while the inside is protected with leather to avoid harming the wearer.</p><p>A wrist knife never has to be readied, which makes it an excellent weapon for use in a <a href="CombatActions.php?Name=Grapple">grapple</a>. In addition, it can be worn while holding an item or wielding a weapon without penalty. It cannot be used in the same hand as a shield. A wrist knife can be used in conjunction with the <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> feat. It provides the user with a +10 to resist <a href="CombatActions.php?Name=Disarm">disarm</a> attempts.</p><p>A wrist knife can be used in combination with <a href="EquipmentWeapons.php?Name=Armoured%20Gloves">armoured gloves</a>, incurring no attack penalty due to the gloves' bulkiness.|
Unarmed Attack|+0|20|+3|Bludgeoning|-|-|-|0 lb.|Simple|Unarmed attacks inflict non-lethal damage.|
