Name|Type|Prerequisites|Benefit|Summary
Deflect Arrows|Expert||You can bat arrows and similar ranged weapons (such as thrown objects) out of the air. You must have at least one hand free to use this feat. Once per round, when you would normally be hit with a ranged weapon, you may deflect it as a reaction so you take no damage from it. You must be aware of the attack and not flat-footed. You cannot deflect bullets, rayguns, or similar ranged attacks. <br />If you also have <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a>, you can use the following weapons to deflect arrows: <a href="EquipmentWeapons.php?Name=Fan">fan</a>, <a href="EquipmentWeapons.php?Name=Sai">sai</a>, any one-handed sword (including <a href="EquipmentWeapons.php?Name=Ninja-to">ninja-to</a>), any <a href="EquipmentWeapons.php?Name=Staff">staff</a> or <a href="EquipmentWeapons.php?Name=Spear">spear</a> (including <a href="EquipmentWeapons.php?Name=Chigikiri">chigikiri</a> and <a href="EquipmentWeapons.php?Name=Shikomi-zue">shikomi-zue</a>).|Deflect one ranged attack per round.
Diehard|Warrior||When your condition is reduced to <a href="PlayingConditions.php?Name=Dying">dying</a>, you automatically succeed on the Constitution check to stabilize on the following round. Further damage can still kill you.|You automatically succeed on Con checks to stabilize.
Dodge Focus|General||Your <a href="Combat.php#Dodge">Dodge</a> increases by +1. This additional <a href="Combat.php#Dodge">Dodge</a> bonus is lost in the same way as your regular <a href="Combat.php#Dodge">Dodge</a>, when you are flat-footed and so forth. You can acquire this feat multiple times and its benefits stack.|+1 to your <a href="Combat.php#Dodge">Dodge</a>.
Double Strike|General|Two or more natural weapons.|The creature gains the benefits of <a href="Feats.php?Name=Two-Weapon%20Fighting">Two-Weapon Fighting</a> with its natural weapons.|<a href="Feats.php?Name=Two-Weapon%20Fighting">Two-Weapon Fighting</a> with natural weapons.|
Empower|Adept||You can increase the effective rank of your <a href="Powers.php">powers</a>, putting more of your energy and will behind them. For each effective rank you add to a power, increase the Difficulty of the Resilience save by +2. You cannot empower a power by more than +5 ranks (for +10 to the Resilience Difficulty). If you empower a power that is not normally Fatiguing, that power becomes a Fatiguing one, and your Resilience save Difficulty is subject to the same increase noted above (+2 for each rank you add to the power).|You can increase the effective rank of your powers.
Endurance|General||You gain a +4 bonus on <a href="Skills.php?Name=Swim">Swim</a> checks to avoid becoming fatigued, and +4 on Constitution checks or Fortitude saves to hold your breath, to avoid damage from starvation or thirst, and to avoid damage from hot or cold environments.|+4 on stamina-related Con checks and Fort saves.
Evasion|Expert||If you make your Reflex save against an <a href="CombatModifiers.php?Name=Area%20Attack">area effect</a>, you suffer <em>no</em> damage instead of the half damage normally taken by targets that make a successful Reflex Save.|No damage from <a href="CombatModifiers.php?Name=Area%20Attack">area attacks</a> with Reflex save.
Exotic Weapon Training|General||You're trained in the use of a particular <a href="EquipmentWeapons.php?Type=Exotic">exotic weapon</a>. Each <a href="EquipmentWeapons.php?Type=Exotic">exotic weapon</a> requires a separate feat.|You're trained in a particular <a href="EquipmentWeapons.php?Type=Exotic">exotic weapon</a>.
Expert Gunner|Special|only available to ships' crews (see the <a href="ShipsCombat.php">Ship Combat</a> section for more details)|You are adept at reloading ships' cannon. Your reload time is reduced by two rounds.|Your crew reloads cannon faster.
Familiar|Adept|4 <a href="PowersUsing.php">Power ranks</a>|You have a supernatural bond with a special animal companion. Choose a 0- or 1st-level animal as your familiar (see <a href="Creatures.php">Creatures</a> for animal descriptions).</p> <table width="700px"><th class="center">Power Ranks</th><th class="center">Combat Bonus</th><th class="center">Abilities</th><th class="center">Tricks</th><th>Special</th> <tr class="odd-row"><td class="center">4-5</td><td class="center">+2</td><td class="center">+0</td><td class="center">1</td><td>Link, Share Powers, Absorb Fatigue 1</td></tr> <tr><td class="center">6-8</td><td class="center">+4</td><td class="center">+0</td><td class="center">2</td><td>Evasion</td></tr> <tr class="odd-row"><td class="center">9-11</td><td class="center">+6</td><td class="center">+1</td><td class="center">3</td><td>Dedicated, Absorb Fatigue 2</td></tr> <tr><td class="center">12-14</td><td class="center">+8</td><td class="center">+1</td><td class="center">4</td><td>Speak</td></tr> <tr class="odd-row"><td class="center">15-17</td><td class="center">+10</td><td class="center">+2</td><td class="center">5</td><td>Absorb Fatigue 3</td></tr> <tr><td class="center">18-20</td><td class="center">+12</td><td class="center">+2</td><td class="center">6</td><td> <a href="Feats.php?Name=Improved%20Evasion">Improved Evasion</a></td></tr> <tr class="odd-row"><td class="center">21+</td><td class="center">+14</td><td class="center">+3</td><td class="center">7</td><td>Absorb Fatigue 4</td></tr></table><p>Your familiar is an enhanced version of the chosen animal, referred to as the base animal. The Familiar table indicates how the base animal is enhanced. </p><p><b>Power Ranks:</b> Enhancements to the familiar's traits are based on your <a href="PowersUsing.php">Power ranks</a>. Note that you must have at least 4 power ranks to take this feat. A familiar has the same base saves as its master.</p><p><b>Combat Bonus:</b> A familiar has the listed combat bonus depending on the ranks of its master.</p><p><b>Abilities:</b> This is a bonus to the base animal's Strength, Dexterity, and Intelligence scores. </p><p><b>Bonus Tricks:</b> The number in this column is the total number of tricks the familiar knows, in addition to any you might choose to teach it using the <a href="Skills.php?Name=Handle%20Animal">Handle Animal</a> skill. These bonus tricks don't require any training time or <a href="Skills.php?Name=Handle%20Animal">Handle Animal</a> checks, and they don't count against the normal limit of tricks known by the animal. You select these bonus tricks, and once chosen, they can't be changed. </p><p><b>Link:</b> You have a psychic link with your familiar. The two of you are always in mental contact (like a use of the <a href="Powers.php?Name=Beast%20Link">Beast Link</a> power). This does not allow the use of speech-like communication until the familiar gains the "Speak" ability described below, but you can attempt <a href="Skills.php?Name=Handle%20Animal">Handle Animal</a> checks with your familiar even if it is not within sight or hearing.  Because of your link, you can handle your familiar as a free action and push it as a move action, even if you aren't trained in the <a href="Skills.php?Name=Handle%20Animal">Handle Animal</a> skill. You get a +4 bonus on interaction checks involving your familiar. If some outside force, such as the <a href="Powers.php?Name=Ward">Ward</a> power, interferes, you can make a power check to overcome it. If your psychic link is broken, it is automatically reestablished as soon as possible.</p><p><b>Share Powers:</b> You can choose to have any power you use on yourself also affect your familiar. This includes powers like <a href="Powers.php?Name=Body%20Control">Body Control</a> and <a href="Powers.php?Name=Psychic%20Shield">Psychic Shield</a>, which normally only affect the user. The familiar must be within 5 feet of you when the power is used to receive its effects. If the power has a duration other than instantaneous, it stops affecting the familiar when the familiar moves farther than 5 feet away from you and does not affect it again, even if it returns while the power is still in effect. </p><p><b>Absorb Fatigue:</b> Your familiar can assist your use of supernatural powers by absorbing <a href="CombatDamage.php">non-lethal damage</a> caused by failed <a href="PowersUsing.php">Resilience rolls</a>. Initially your familiar can only absorb one level of fatigue, but as your power ranks increase, your familiar can absorb up to four levels of fatigue. Only fatigue caused by failed Resilience rolls can be absorbed by the familiar.</p><p><b><a href="Feats.php?Name=Evasion">Evasion</a>:</b> Your familiar gains the <a href="Feats.php?Name=Evasion">Evasion</a> feat. </p><p><b><a href="Feats.php?Name=Dedicated">Dedicated</a>:</b> Your familiar gains the <a href="Feats.php?Name=Dedicated">Dedicated</a> feat towards you. </p><p><b>Speak:</b> Your familiar can speak verbally with you as if you shared a common language. Others cannot understand your communication without the use of powers. </p><p><b> <a href="Feats.php?Name=Improved%20Evasion">Improved Evasion</a>:</b> Your familiar gains the  <a href="Feats.php?Name=Improved%20Evasion">Improved Evasion</a> feat.|You have a supernatural bond with a special animal companion.
Fascinate|Expert|Trained in the chosen interaction skill|One of your interaction skills is so effective you can capture and hold someone's attention with it. Choose <a href="Skills.php?Name=Bluff">Bluff</a>, <a href="Skills.php?Name=Diplomacy">Diplomacy</a>, <a href="Skills.php?Name=Intimidate">Intimidate</a>, or <a href="Skills.php?Name=Perform">Perform</a>. Use a standard action and make a check using the interaction skill against your target's <a href="Skills.php?Name=Sense%20Motive">Sense Motive</a> check or Will saving throw result (whichever has the higher bonus). <br />If you succeed, the target pays no attention to anyone other than you. You may maintain the effect by taking a standard action each round, for a maximum number of rounds equal to your skill rank. Any potential threat, such as an ally sneaking up on a fascinated target, grants a new <a href="Skills.php?Name=Sense%20Motive">Sense Motive</a> check or Will save. Any obvious threat, such as someone drawing a weapon, automatically breaks the fascination. The fascination ends when you stop maintaining it or the target overcomes it. <br />You may take this feat more than once. Each time, it applies to a different interaction skill.|Hold someone's attention with an interaction skill.
Favored Opponent|Warrior||You have a particular type of opponent you've studied or are especially effective against. It may be a type of <a href="Creatures.php">creature</a>, like <a href="CreaturesTypes.php?Name=Animal">animals</a> or the <a href="CreaturesTypes.php?Name=Undead">undead</a>; a profession, like soldiers or thieves; or any other category the Narrator approves. Especially broad categories, like "all humanoids" or "all villains," are not permitted. You get a +2 bonus on <a href="Skills.php?Name=Bluff">Bluff</a>, <a href="Skills.php?Name=Intimidate">Intimidate</a>, <a href="Skills.php?Name=Notice">Notice</a>, <a href="Skills.php?Name=Sense%20Motive">Sense Motive</a>, and <a href="Skills.php?Name=Survival">Survival</a> checks when dealing with your favored opponent, as well as +1 damage on all attacks against them. You may take this feat multiple times, either choosing a different favored opponent or stacking with your existing bonus to a maximum of +6 on skills checks and +3 damage.|+2 bonus against a particular type of opponent.
Great Cleave|Warrior|<a href="Feats.php?Name=Cleave">Cleave</a>|This feat works like <a href="Feats.php?Name=Cleave">Cleave</a>, except you can use it an unlimited number of times per round, until you miss an attack or there are no more opponents within range.|Like <a href="Feats.php?Name=Cleave">Cleave</a>, but usable an unlimited number of times.
Great Fortitude|General||You get a +2 bonus on all Fortitude saving throws.|+2 on Fortitude saving throws.
Greater Attack Focus|Warrior|<a href="Feats.php?Name=Attack%20Focus">Attack Focus</a>|You gain an additional +1 <a href="Combat.php#AttackBonus">attack bonus</a> or <a href="Combat.php#ManeuverBonus">maneuver bonus</a> with the chosen attack. The benefit of this feat stacks with <a href="Feats.php?Name=Attack%20Focus">Attack Focus</a>.|+1 bonus with a particular attack.
Greater Attack Specialization|Warrior|<a href="Feats.php?Name=Attack%20Specialization">Attack Specialization</a>|You gain an additional +1 <a href="Combat.php#Damage">damage</a> bonus with the chosen attack. The benefit of this feat stacks with <a href="Feats.php?Name=Attack%20Specialization">Attack Specialization</a>.|+1 damage with a particular attack.
Greater Improved Cure|Adept|<a href="Feats.php?Name=Improved%20Cure">Improved Cure</a>, Power Ranks 15+|With a <a href="Powers.php?Name=Cure">Cure</a> check you can remove <a href="PlayingConditions.php?Name=Ability%20Drained">ability drain</a>. The Difficulty for this check is equal to 10 + the level of the creature, adept or threat that caused the <a href="PlayingConditions.php?Name=Ability%20Drained">ability drain</a>.|You can use <a href="Powers.php?Name=Cure">Cure</a> to restore <a href="PlayingConditions.php?Name=Ability%20Drained">ability drain</a>.
Hide in Plain Sight|Expert|<a href="Skills.php?Name=Stealth">Stealth</a> rank 13|You can make <a href="Skills.php?Name=Stealth">Stealth</a> checks while being observed and even if you do not have <a href="CombatModifiers.php?Name=Cover">cover</a> or <a href="CombatModifiers.php?Name=Concealment">concealment</a>. Characters normally must have <a href="CombatModifiers.php?Name=Cover">cover</a> or <a href="CombatModifiers.php?Name=Concealment">concealment</a> to hide and cannot make <a href="Skills.php?Name=Stealth">Stealth</a> checks while being observed.|Make <a href="Skills.php?Name=Stealth">Stealth</a> checks without <a href="CombatModifiers.php?Name=Cover">cover</a> or <a href="CombatModifiers.php?Name=Concealment">concealment</a>.
Imbue Item|Adept||You can craft <a href="EquipmentSupernatural.php">supernatural items</a>, including weapons, armor, tattoos and charms. It takes the normal time to make the item, but its cost is increased. See Supernatural Items in the <a href="EquipmentSupernatural.php">Equipment section</a> for details.|You can craft supernatural items.|
Improved Acrobatic Charge|General||With a successful Difficulty 20 <a href="Skills.php?Name=Acrobatics">Acrobatics</a> check, your <a href="CombatActions.php?Name=Charge">charge attack</a> deals an additional +1 damage, in addition to the normal +2 attack bonus granted by a <a href="CombatActions.php?Name=Charge">charge attack</a>.|+1 damage with a <a href="CombatActions.php?Name=Charge">charge</a> on an <a href="Skills.php?Name=Acrobatics">Acrobatics</a> check.
Improved Critical|General||Your <a href="Combat.php#Damage">critical threat range</a> with a particular attack is doubled. An attack that normally threatens a critical on a natural 20 instead threatens a critical on a 19 or 20, an attack that normally threatens a critical on a 19 or 20 instead threatens a critical on 17-20, and so forth. You can take this feat multiple times. Each time it applies to a different attack.|Your threat range with a particular attack is doubled.
Improved Cure|Adept|<a href="Powers.php?Name=Cure">Cure</a>, Power Ranks 10+|You can cure numerous types of injury and conditions. With a Difficulty 15 <a href="Powers.php?Name=Cure">Cure</a> check you can remove <a href="PlayingConditions.php?Name=Blinded">blindness</a> and <a href="PlayingConditions.php?Name=Deafened">deafness</a>, and you can also make a <a href="Powers.php?Name=Cure">Cure</a> check against the Difficulty of a disease or poison to remove its effects immediately.|Your <a href="Powers.php?Name=Cure">Cure</a> power is more effective.
Improved Defense|General||When you take a <a href="CombatActions.php?Name=Total+Defense">total defense action</a> in combat you gain a +6 bonus rather than the usual +4 bonus. You can take this feat a second time, giving you a +8 bonus when you take a <a href="CombatActions.php?Name=Total+Defense">total defense action</a>.|+2 bonus when taking the <a href="CombatActions.php?Name=Total+Defense">total defense action</a>.
Improved Disarm|General||You have a +2 bonus on <a href="Combat.php#AttackBonus">attack</a> or <a href="Combat.php#ManeuverBonus">maneuver</a> rolls when attempting to <a href="CombatActions.php?Name=Disarm">disarm an opponent</a>. There is also no possibility of you disarming yourself, even should you fail by 10 or more (see <a href="CombatActions.php?Name=Disarm">Disarm</a>).|+2 bonus when attempting to <a href="CombatActions.php?Name=Disarm">disarm</a> an opponent.
Improved Evasion|Expert|Evasion|This works like <a href="Feats.php?Name=Evasion">Evasion</a> except you only take half damage from an <a href="CombatModifiers.php?Name=Area%20Attack">area effect</a>	 even if you fail the Reflex save, and no damage if you succeed.|Suffer only half damage on a failed Reflex save.
Improved Grab|General||When you hit with an unarmed attack, you can immediately make a <a href="CombatActions.php?Name=Grapple">grapple check</a> against that opponent as a free action. Your unarmed attack still deals damage as normal, and if your <a href="CombatActions.php?Name=Grapple">grapple check</a> is successful, the opponent is <a href="PlayingConditions.php?Name=Grappled">grappled</a>. The opponent must be no larger than you. See <a href="CombatActions.php?Name=Grapple">Grappling</a>.|You can follow an unarmed attack with a free <a href="CombatActions.php?Name=Grapple">grapple</a>.
Improved Imbue Unlife|Adept|<a href="Powers.php?Name=Imbue%20Unlife">Imbue Unlife</a>, Power Ranks 10+|You double the total number of mindless undead you can control with the <a href="Powers.php?Name=Imbue%20Unlife">Imbue Unlife</a> power.|Double the mindless undead you can control.
Improved Initiative|General||You get a +4 bonus on <a href="CombatInitiative.php">initiative checks</a>.|You get a +4 bonus on <a href="CombatInitiative.php">initiative checks</a>.
Improved Pin|General||Your <a href="CombatActions.php?Name=Grapple">grappling attacks</a> are particularly difficult to escape. Opponents suffer a -4 penalty on <a href="Combat.php#ManeuverBonus">maneuver rolls</a> or <a href="Skills.php?Name=Escape%20Artist">Escape Artist</a> checks against you to escape a <a href="PlayingConditions.php?Name=Grappled">grapple</a> or <a href="PlayingConditions.php?Name=Pinned">pin</a>. See <a href="CombatActions.php?Name=Grapple">Grappling</a>|Opponents suffer a -4 penalty on <a href="CombatActions.php?Name=Grapple">grapple attempts</a> against you.
Improved Precise Shot|General||While using a <a href="EquipmentWeapons.php?Range=Ranged">ranged weapon</a>, you ignore the <a href="Combat.php#BaseDefense">Defense bonus</a> provided by anything less than total <a href="CombatModifiers.php?Name=Cover">cover</a> and the miss chance from anything less than total <a href="CombatModifiers.php?Name=Concealment">concealment</a>. A target's own <a href="Combat.php#BaseDefense">Defense</a> or <a href="Combat.php#Dodge">Dodge</a> still apply. You can make <a href="CombatModifiers.php?Name=Finesse%20Attack">finesse attacks</a> with ranged weapons.|No penalty for less than total cover or concealment.
Improved Ranged Disarm|General||You have no penalty to your <a href="Combat.php#ManeuverBonus">maneuver roll</a> or your <a href="Combat.php#AttackBonus">attack roll</a> when making a ranged disarm attempt (see <a href="CombatActions.php?Name=Disarm">Disarm</a>).|No penalty when making a <a href="CombatActions.php?Name=Disarm">ranged disarm attempt</a>.
Improved Speed|General||Your speed increases by 10 feet while wearing no armor, light armor, or medium armor and not carrying a heavy load. You can take this feat multiple times. Each time it increases your speed by 10 feet, to a maximum increase of +30 feet.|+10 feet movement speed.
Improved Strike|General||You can inflict lethal damage with your unarmed strikes. Normally, unarmed attacks only inflict non-lethal damage. Your unarmed attacks are also more effective than normal. Increase your unarmed striking (but not grappling) damage by +1 for every four total levels, rounding up (+1 at levels 1-4, +2 at levels 5-8, and so forth).|You do lethal damage unarmed.
