Name|Level|Type|SubType|Size|Speed|Abilities|Skills|Feats|Traits|Combat|SavingThrows|Description|Details|
Black Bile Jelly|8th|Ooze||Large|10 ft.|Str +5, Dex -5, Con +6, Int --, Wis -5, Cha -5|Stealth!-9*!0 ranks, -5 Dex, -4 size||Acid, <a href="CreaturesTraits.php?Name=Blindsight">Blindsight</a> 60 ft., Despair, Fear, <a href="CreaturesTraits.php?Name=Engulf">Engulf</a>, Split|+0!(-1 size, +6 base, -5 Dex);+6!and <b>+3</b> acid (slam);10/--!(-1 size, +6 base, -5 Dex);-5|+9!+2 size, +1 ooze, +6 Con;+8!+2 base, +6 Con;-3!+2 base, -5 Dex;-3!+2 base, -5 Wis|Black bile jellies are dark oily slimes that lurk about in dark wet areas, such as caves and ship's bilges. They seek to drive warm-bodied creatures into deep depressions and then attack them when they aree off skuling around on their own in a dark corner. The black bile jelly then sneaks up on them under cover of the shadows and attempts to engulf them.|<b>Acid:</b> A black bile jelly secretes a digestive acid that dissolves only flesh. A successful slam attack deals acid damage, and a creature that <a href="CombatActions.php?Name=Grapple">grapples</a> with a black bile jelly or strikes it with an unarmed attack also takes acid damage. An opponent wearing metal armor is immune to a black bile jelly's acid, but those wearing leather or cloth armor are not. The black bile jelly's senses are keen enough that it is able to detect vulnerable flesh, however, se despite being mindless it can choose to make <a href="CombatModifiers.php?Name=Finesse%20Attack">finesse attacks</a> to avoid metal armor.</p><p><b>Despair/Fear:</b> A black bile jelly can use the <em>despair</em> and <em>fear</em> effects of the <a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a> supernatural <a href="Powers.php">power</a> (ranks 11, Con, save Difficulty 20, <a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a> +17)</p><p><b>Engulf:</b> Medium or smaller creatures; Reflex Difficulty 19, engulfed creatures are subject to the black bile jelly's acid. The save Difficulty is Strength-based.</p><p><b>Split:</b> Slashing and piercing weapons can cause a black bile jelly to split into two.</p><p><b>Skills:</b> *A black bile jelly gains a +16 bonus to <a href="Skills.php?Name=Stealth">Stealth</a> checks when in dark or gloomy conditions.|
Blemmyae|5th|Monstrous Humanoid||Medium|30 ft., climb 15 ft.|Str +5, Dex +2, Con +2, Int +0, Wis +1, Cha -1|Climb!+13!8 ranks, +5 Str;Jump!+13!8 ranks, +5 Str;Notice!+5!0 ranks, +1 Wis, +4 bonus|All-out Attack!,;Cleave!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>|<a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> to 60 feet, Scream of Rage|+7!(+5 base, +2 Dex);+7!(+2 club, +5 Str);17/20!(+5 base, +2 Dex/+5 base, +5 Str);+2|+5!+2 Con, +3 natural armor;+3!+1 base, +2 Con;+6!+4 base, +2 Dex;+5!+4 base, +1 Wis|Blemmyae are naked, club-wielding savages with no heads, and their faces in their burly chests. They stand seven to eight feet tall (at the shoulder, yuk yuk yuk) and are covered in thick, coarse hair. They live in deep jungles and protect their territory with agressive displays and will attack any creatures that do not immediately retreat.|Blemmyae only advance by taking levels of <a href="CreaturesTypes.php?Name=Monstrous%20Humanoid">monstrous humanoid</a>.</p><p><b>Scream of Rage:</b> The blemmyae have huge resonating chest cavities with which they are able to produce this horrendous noise at will. All creatures within 60 ft. must succeed at a Difficulty 14 Will save or be <a href="PlayingConditions.php?Name=shaken">shaken</a> for one minute. A character who fails this save and is exposed to a second blemmyae scream of rage must, in addition to the second Will save, make a Difficulty 14 Fortitude save or be <a href="PlayingConditions.php?Name=Deafened">deafened</a> for one hour. These save Difficulties are Constitution-based.</p><p><b>Skills:</b> Blemmyae have a +4 racial bonus to <a href="Skills.php?Name=Notice">Notice</a> and <a href="Skills.php?Name=Stealth">Stealth</a> checks.|
Brachiosaurus|15th|Animal||Gargantuan|25 ft.|Str +9, Dex +0, Con +6, Int -5, Wis -1, Cha +0|Notice!+18!19 ranks, -1 Wis|Awesome Blow!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Tough! (x5)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Trample">Trample</a>|+7!(-4 size, +11 base, +0 Dex);+16!(tail sweep);17/--!(21 base, -4 size, +0 Dex);+0|+19!+6 size, +6 Con, +2 natural, +5 <a href="Feats.php?Name=Tough">Tough</a>;+15!+9 base, +6 Con;+9!+9 base, +0 Dex;+4!+5 base, -1 Wis|A brachiosaurus is a towering creature, 40 feet tall and weighing 30 tons. It walks on four legs, with the front legs longer than the back, much like a modern-day giraffe. These enormous herbivores swat enemies with their muscular tails.</p><p>Much like the <a href="Creatures.php?Name=Apatosaurus">apatosaurus</a>, these creatures are found both larger and smaller than listed here. This is simply a representative individual.|<b><a href="CreaturesTraits.php?Name=Trample">Trample</a>:</b> Damage +23, Difficulty 26 Reflex Save for half damage. The save Difficulty is Strength- based.|
Cannibal Spirit|11th|Spirit||Medium|fly 120 ft. (perfect)|Str +6, Dex +4, Con +5, Int +3, Wis +5, Cha +7|Knowledge!(local) +17!14 ranks, +3 Int;Notice!+19!14 ranks, +5 Wis;Search!+18!14 ranks, +4 Dex;Stealth!+18!14 ranks, +4 Dex;Survival!+19!14 ranks, +5 Wis|Ability Focus! (dream haunting),;Ability Focus! (howl),;Double Strike!,;Improved Grab!,;!<a href="Powers.php">Powers</a> (<a href="Powers.php?Name=Wind%20Shaping">Wind Shaping</a>),;Track!,;Wind Finesse|Dream Haunting, Howl, No Breath, <a href="CreaturesTraits.php?Name=Rake">Rake</a>|+15!(bite) (+11 base, +4 Dex) (<b>+13</b> claw);+9!(bite) or <b>+7</b> (claw) or (<b>+9</b> rake);25/--!(+11 base, +4 Dex);+8!(+4 Dex, +4 <a href="Feats.php?Name=Improved%20Initiative">Improved Initiative</a>|+5!+5 Con;+12!+7 base, +5 Con;+13!+7 base, +4 Dex, +2 <a href="Feats.php?Name=Lightning%20Reflexes">Lightning Reflexes</a>;+12!+7 base, +5 Wis|Terrible spirits of hunger and fear, these spirits generally haunt isolated sites where hunger and deprivation drove people to fearful acts of violence. Different cannibal spirits appear in different forms but typically they possess a humanoid shape, but with revolting bestial features.|<b>Dream Haunting:</b> A cannibal spirit can visit the dreams of a single victim within 1 mile while that victim sleeps. The afflicted individual experiences vivid nightmares of starvation and cannibalism. The victim can resist the effects of this dream with a Difficulty 24 Will save. Failure indicates the victim takes a level of fatigue as they sleep, but can't quite remember the nature of their dreams. After failing two of these saves against the same cannibal spirit, the victim contracts <em>Cannibal Fever</em> (see below). A victim who saves three times against the same cannibal spirit is forever immune to that cannibal spirit's dream haunting ability. This is a mind-influencing effect. The save Difficulty is Charisma-based.</p><p><b>Howl:</b> Up to three times per day as a standard action, a cannibal spirit can let loose a forlorn howl that echoes throughout the countryside and can be heard up to a mile away &mdash; even during the fiercest storm &mdash; unless magically silenced. This primal howl raises the hackles of all who hear it and sends chills down the spine. Anyone who hears the howl must make a Difficulty 24 Will save to avoid becoming <a href="PlayingConditions.php?Name=Shaken">shaken</a> for an hour. Creatures within 120 feet of the cannibal spirit when it howls also become <a href="PlayingConditions.php?Name=Panicked">panicked</a> for one minute, and those within 30 feet also become <a href="PlayingConditions.php?Name=Paralyzed">paralyzed</a> with fear for three rounds. Anyone who makes the save is immune to that cannibal spirit's howl for 24 hours. This is a mind-influencing fear effect. The save Difficulty is Charisma-based.</p><p><b>Cannibal Fever:</b> When a victim suffers a cannibal spirit's dream haunting or wind walks with one, he contracts this terrible malady. Sometimes those who practice cannibalism of their own accord also develop these symptoms.</p><p>Cannibal Fever acts as a <a href="CreaturesTraits.php?Name=Disease">disease</a>. It has an incubation period of 1 day, and inflicts a point of Wisdom damage each day the victim fails a Difficulty 22 Will save. During this time, the cannibalistic visions become more and more vivid and personal, and begin to involve family members and friends. Cannibal Fever cannot reduce a victim's Wisdom to lower than -5, but once this point is reached, the victim seeks out other humans to kill and consume.</p><p>Once a victim actually commits an act of cannibalism, a cannibal spirit takes over the victim's body, and screaming, the victim is drawn up into the air, to be transformed into a new spirit of cannibalism.|
Carrionstorm|3rd|Undead|Swarm|Tiny|10 ft., fly 40 ft. (good)|Str -5, Dex +0, Con --, Int -4, Wis +2, Cha -2|Notice!+8!6 ranks, +2 Wis|Ability Focus!(distraction);Improved Initiative|Distraction, Pallid Bond, Vulnerable to Ward|Swarm;+2;13/--!(+1 base, +0 Dex, +2 size);+4!(+0 Dex, +4 <a href="Feats.php?Name=Improved%20Initiative">Improved Initiative</a>)|-2!+0 base, -2 size;--;+1!+1 base, +0 Dex;+5!+3 base, +2 Wis|Where the dead walk, the carrion birds follow. In most cases, birds that feast on the flesh of the undead simply grow diseased and die. Yet the flesh of some ghouls has an altogether different effect on such scavengers, for when they die from the poisoned repast, they do not stay dead for long. Alone, the isolated undead crow or vulture is little more than a hideous mockery, but where ghoulish activity is thick, entire flocks of carrion birds can succumb to undeath, retaining their flock mentality but no longer seeking the flesh of the recently dead. Carrionstorms, as these flocks of undead birds are called, find brief respite from their morbid hunger only when their meals are warm and screaming.|<b>Distraction:</b> Any living creature that begins its turn with a carrionstom in its square must succeed on a Difficulty 13 Fortitude save or be <a href="PlayingConditions.php?Name=Nauseated">nauseated</a> for one round. The save Difficulty is Constitution-based.</p><p><b>Pallid Bond:</b> A carrionstorm never attacks undead creatures.</p><p><b>Vulnerable to Warding:</b> A use of the <a href="Powers.php?Name=Ward">Ward</a> power against a carrionstorm deals damage with a bonus equal to the adept's power bonus for the attempt. The carrionstorm uses its Toughness save, not its Will save, to try and resist this damage.|
Cockroach, Giant|4th|Vermin||Large|50 ft.|Str +4, Dex +1, Con +3, Int --, Wis +1, Cha -3|Notice!+5!0 ranks, +1 Wis, +4 bonus;Stealth!+5!0 ranks, +1 Dex, +4 bonus|Improved Initiative!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>| <a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> (60 ft.), <a href="CreaturesTraits.php?Name=Light%20Sensitivity">Light Sensitivity</a>|+3!(+3 base, -1 size, +1 Dex);+6!(bite);13/--!(13 base, -1 size, +1 Dex);+5!(+1 Dex, +4 Imp. Init.)|+6!+3 Con, +3 chitin;+7!+4 base, +3 Con;+2!+1 base, +1 Dex;+2!+1 base, +1 Wis|These monstrous scavengers will eat almost anything, and will even attack smaller living creatures when hungry. Otherwise, giant roaches tend to be timid creatures, and often flee when confronted. In larger groups, they may be a bit more belligerent. They particularly dislike bright light and usually run away from it.|<b>Skills:</b> A giant cockroach has a +4 bonus on <a href="Skills.php?Name=Stealth">Stealth</a> and <a href="Skills.php?Name=Notice">Notice</a> checks.</p><p>The cockroach's <a href="Skills.php?Name=Stealth">Stealth</a> bonus increases to +12 when amidst dark soil, rotting leaves or other decomposing organic matter.|
Composognathus|2nd|Animal||Small|40 ft.|Str -2, Dex +4, Con +1, Int -4, Wis +3, Cha +0|Jump!+2!0 ranks, -2 Str, +4 bonus;Notice!+12!5 ranks, +3 Wis, +4 bonus;Stealth!+8!0 ranks, +4 Dex, +4 bonus|Dodge Focus!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Poison">Poison</a>|+7!(+2 size, +1 base, +4 Dex);-1!(bite);+8/--!(+2 size, +1 base, +4 Dex, +1 <a href="Feats.php?Name=Dodge%20Focus">Dodge Focus</a>);+4|+1!-1 size, +1 Con, +1 natural;+4!+3 base, +1 Con;+7!+3 base, +4 Dex;+3!+0 base, +3 Wis|A compsognathus is a small, agile predator that travels in large packs and inflicts a poisonous bite on its prey, then waits for the poison to take effect. These creatures gang up on larger prey, with many pack members leaping in to bite once, then retreating. The pack then follow their victim, administering further bites if the prey does not appear to be collapsing. Once the prey is helpless the pack close in for their meal.|<b><a href="CreaturesTraits.php?Name=Poison">Poison</a>:</b> Bite; Fortitude Difficulty 12 resists; initial and secondary damage 1 Str. The save Difficulty is Constitution-based.</p><p><b>Skills:</b> A compsognathus has a +4 racial bonus on <a href="Skills.php?Name=Jump">Jump</a>, <a href="Skills.php?Name=Notice">Notice</a> and <a href="Skills.php?Name=Stealth">Stealth</a> checks.|
Crypt Wight|4th|Undead||Medium|30 ft.|Str +4, Dex +1, Con --, Int +1, Wis +2, Cha +4|Notice!+9!7 ranks, +2 Wis;Search!+8!7 ranks, +1 Int;Intimidate!+11</b> (7 ranks, +4 Cha;Stealth!+8!7 ranks, +1 Dex;Knowledge! (any) +8!7 ranks, +1 Int|Power:Cold Shaping!+11;Power:Heart Shaping!+11;Power:Sleep!+11|Burned by Sunlight, <a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> 60 ft.|+3!(+2 base, +1 Dex);+5!(slam, +2 cold aura);13/--!(+2 base, +1 Dex);+1|+7!+5 natural armor;--;+2!+1 base, +1 Dex;+6!+4 base, +2 Wis|Crypt wights are corpses of the ancient dead animated by malevolent spirits from another plane. Their bodies are shriveled to little more than leathery skin clinging to their bones, shrouded by tattered rags and rusting armor. They are surrounded by an aura of bitter cold, and their icy touch saps the warmth from the living. These fell beings shun sunlight, which sears their unholy flesh. Crypt wights rarely stray far from their burial mounds, and even then only at night.|<b>Burned by Sunlight:</b> A crypt wight takes +2 fire damage each round it spends in direct sunlight.|
Deathweb|9th|Undead||Gargantuan|30 ft., climb 20 ft.|Str +7, Dex +2, Con --, Int -2, Wis +1, Cha +1|Climb!+27!12 ranks, +7 Str, +8 bonus;Notice!+13!12 ranks, +1 Wis;Stealth!+2!12 ranks, +2 Dex, -12 size|All-out Attack!,;Awesome Blow!,;Cleave!,;Improved Bull Rush!,;Multi-attack|Poison Swarm, Web|+2!(+4 base, +2 Dex, -4 size);+10!+3 base, +7 Str;12/--!(+4 base, +2 Dex, -4 size);+2|+11!+0 base, +6 size, +5 natural armour;--;+5!+3 base, +2 Dex;+7!+6 base, +1 Wis|Deathwebs are the exoskeletons of truly massive monstrous arachnids animated by foul magics, and masses of smaller, symbiotic spiders. Although their bodies resemble the powerful predators they once were, they are now broken, hollow things, teeming swarms of their lesser kin. Potent necromantic energies might create most deathwebs, but these horrors have also been known o animate spontaneously in areas teeming with insectile vermin or tainted by the worship of perverse spider cults.|<b>Poison Swarm:</b> The area around a deathweb is filled with swarms of living spiders taht nest in the undead thing's exoskeleton. Any creature that comes within 10 feet of a deathweb takes +1 piercing damage per round and must make a difficulty 15 Fortitude save or be <a href="CreaturesTraits.php?Name=Poison">poisoned</a> (initial: immediate, 1 Con; secondary: 2 minutes, 2 Con). The save Difficulty is Charisma-based.</p><p>Any <a href="CombatModifiers.php?Name=Area%20Attack">area attack</a> that deals a <a href="PlayingConditions.php?Name=Wounded">wounded</a> result to the deathweb destroys its poison swarm for 3 rounds. After this time, new spiders well up from within the beast and create a new swarm.</p><p><b>Web:</b> The deathweb can create sticky webs to ensnare enemies. A deathweb can throw a web at will, but no more than once every 5 rounds. This is similar to an attack with a <a href="EquipmentWeapons.php?Name=Net">net</a> but has a maximum range of 50 feet, with a range increment of 10 feet, and is effective against Colossal or smaller opponents. As a standard action, an entangled creature can escape with a Difficulty 21 <a href="Skills.php?Name=Escape%20Artist">Escape Artist</a> check or burst it with a Difficulty 29 Strength check. The check Difficulties are Strength-based, and the Strength check Difficulty includes a +8 racial bonus.</p><p>The slimy webbing created by a deathweb has a Toughness save of +8. It is difficulty to burn and has <a href="CreaturesTraits.php?Name=Resistance%20to%20Energy">energy resistance</a> +5 vs fire. Fires that achieve a <a href="PlayingConditions.php?Name=Disabled">disabled</a> result against the web destroy it; they also inflict fire damage on creatures entangled in the web.</p><p><b>Skills:</b> Deathwebs have a +8 racial bonus on <a href="Skills.php?Name=Climb">Climb</a> checks. A deathweb can always choose to take 10 on <a href="Skills.php?Name=Climb">Climb</a> checks, even if rushed or threatened.|
Deinonychus|4th|Animal||Large|60 ft.|Str +4, Dex +2, Con +4, Int -4, Wis +1, Cha +0|Jump!+19!7 ranks, +2 Dex, +8 bonus, +2 speed;Notice!+9!0 ranks, +1 Wis, +8 bonus;Stealth!+6!0 ranks, +2 Dex, +8 bonus, -2 size;Survival!+9!0 ranks, +1 Wis, +8 bonus|Double Strike!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Run!,;Track!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>|Flying Charge, <a href="CreaturesTraits.php?Name=Pounce">Pounce</a>, <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+4!(-1 size, +3 base, +2 Dex);+8!(talons) or <b>+4</b> (foreclaws) or <b>+6</b> (bite);+4/--!(-1 size, +3 base, +2 Dex);+2|+8!+2 size, +4 Con, +2 natural;+8!+4 base, +4 Con;+6!+4 base, +2 Dex;+2!+1 base, +1 Wis|A deinonychus is clad in a colourful pelt of feathers, and resembles a land-bound bird with clawed arms instead of wings, and a powerful jaw full of teeth instead of a beak. Its tail extends straight out behind itself, held aloft by an intricate structure of bony supports, thus allowing its weight to be carried entirely by the back legs. It weighs about 600 pounds.</p><p>A deinonychus uses a combination of speed, grasping forearms, large teeth and hind legs with ripping talons. It hunts by running at prey, leaping, and ripping with its rear talons as it claws and bites.</p><p>The talons count as only one attack. A deinonychus has a relatively large brain for a dinosaur, and its pack hunts with cunning tactics.|<b>Flying Charge:</b> A deinonychus can use a <a href="Skills.php?Name=Jump">Jump</a> action as part of its <a href="CombatActions.php?Name=Charge">charge</a> movement.</p><p><b> <a href="CreaturesTraits.php?Name=Pounce">Pounce</a>:</b> If a deinonychus <a href="CombatActions.php?Name=Charge">charges</a>, it can attack a single target with both its talons and its bite in a single round.</p><p><b>Skills:</b> A deinonychus has a +8 racial bonus on <a href="Skills.php?Name=Jump">Jump</a>, <a href="Skills.php?Name=Notice">Notice</a>, <a href="Skills.php?Name=Stealth">Stealth</a> and <a href="Skills.php?Name=Survival">Survival</a> checks.|
Dimetrodon|3rd|Animal||Large|20 ft.|Str +4, Dex -1, Con +4, Int -5, Wis +1, Cha +0|Notice!+11!6 ranks, +1 Wis, +4 bonus;Stealth!-1!0 ranks, -1 Dex|Improved Grab! (bite),;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Tough| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, Shake|+0!(-1 size, +2 base, -1 Dex);+8!(bite);+0/--!(-1 size, +2 base, -1 Dex);-1|+9!+2 size, +4 Con, +2 natural,+1 <a href="Feats.php?Name=Tough">Tough</a>;+7!+3 base, +4 Con;+2!+3 base, -1 Dex;+0!+1 base, -1 Wis|A dimetrodon is about 10 feet long and weighs 500 pounds. It is a lizard-like creature with an immense sail running the length of its back.</p><p>Dimetrodons attack from ambush when they can, leaping forward and seizing their prey in their powerful jaws.|<b>Shake:</b> If a dimetrodon successfully starts a <a href="CombatActions.php?Name=Grapple">grapple</a> with its bite attack, it deals automatic bite damage each round it maintains the hold as it shakes its prey violently in its jaws. The dimetrodon can deal this damage even if moving or pinning its opponent.</p><p><b>Skills:</b> A dimetrodon has a +4 bonus on <a href="Skills.php?Name=Notice">Notice</a> and <a href="Skills.php?Name=Stealth">Stealth</a> checks.|
Dragonfly, Giant|6th|Vermin||Large|25 ft., fly 80 ft. (good)|Str +2, Dex +2, Con +2, Int --, Wis +2, Cha +0|Notice!+10!0 ranks, +2 Wis, +8 bonus|Improved Initiative!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Snatch!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a>| <a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> 60 ft., <a href="CreaturesTypes.php?Name=Vermin">Vermin Traits</a>|+5!(-1 size, +4 base, +2 Dex);+5!(bite);+5/--!(-1 size, +4 base, +2 Dex);+6|+6!+2 size, +2 Con, +2 natural;+7!+5 base, +2 Con;+4!+2 base, +2 Dex;+4!+2 base, +2 Wis|These aerial predators are very territorial. They often attack lone predators and occasionally small caravans while in search of food, but may also become aggressive when its territory is entered by another creature that it perceives as a threat (including other giant dragonflies of the same gender). Giant dragonflies are around 14 feet in length, and weigh around 600 pounds.|<b>Skills:</b> A giant dragonfly has a +8 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.|
Eryops|5th|Animal||Huge|15 ft.|Str +5, Dex -1, Con +2, Int -5, Wis +1, Cha +0|Notice!+1!0 ranks, +1 Wis;Stealth!+10!8 ranks, -1 Dex, -8 size, +8 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Improved Grab! (bite),;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Stealth">Stealth</a>)|<a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>|+0!(-2 size, +3 base, -1 Dex);+9!(bite);+0/--!(-2 size, +3 base, -1 Dex);-1|+10!+4 size, +4 Con, +2 natural;+8!+4 base, +4 Con;+3!+4 base, -1 Dex;+0!+1 base, -1 Wis|An eryops is a 20ft-long amphibian that lurks half-buried in shallow waters, waiting for prey to travel past. It lunges up to swallow prey and then retreats to deeper waters to digest its meal. It does not normally stay to fight if attacked, instead preferring to simply swallow its prey and then retreat.|<b><a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>:</b> Creatures up to two sizes smaller; +10 bludgeoning damage and +2 acid damage per round; gizzard Toughness save +3; an eryops' gizzard can hold 2 Medium, 8 Small, 32 Tiny, or 128 Diminutive or smaller opponents.</p><p><b>Skills:</b> Due to its ability to change colours to match its surroundings, an eryops has a +8 racial bonus on <a href="Skills.php?Name=Stealth">Stealth</a> checks.|
Elasmosaurus|10th|Animal||Huge|20ft., swim 50 ft.|Str +8, Dex +2, Con +6, Int -4, Wis +1, Cha -1|Notice!+14!13 ranks, +1 Wis;Stealth!-6*!0 ranks, +2 Dex, -8 size);Swim!+16!0 ranks, +8 Str, +8 bonus|Dodge Focus!,;Great Fortitude!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Tough! (x2)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+7!(-2 size, +7 base, +2 Dex);+14!(bite);+7/--!(-2 size, +7 base, +2 Dex);+2|+13!+4 size, +6 Con, +1 natural,+2 <a href="Feats.php?Name=Tough">Tough</a>;+15!+7 base, +6 Con, +2 <a href="Feats.php?Name=Great%20Fortitude">Great Fortitude</a>;+9!+7 base, +2 Dex;+4!+3 base, +1 Wis|</p><p>Though it resides primarily in the water, an elasmosaurus only breathes air. An elasmosaurus has a total length of some 30 feet, including a tail half as long as its entire body, and weighs about 5,000 pounds. Observers who see only its head or tail might easily mistake it for a massive snake.</p><p>An elasmosaurus is aggressive and attacks anything it notices. The creature is strong, fast, and highly maneuverable, able to turn quickly and lunge at prey.|<b>Skills:</b> An elasmosaurus has a +8 racial bonus on any  <a href="Skills.php?Name=Swim">Swim</a> check to perform some special action or avoid a hazard. It can always choose to take 10 on a  <a href="Skills.php?Name=Swim">Swim</a> check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.</p><p>*An elasmosaurus has a +8 racial bonus on <a href="Skills.php?Name=Stealth">Stealth</a> checks in water.|
Gastonia|11th|Animal||Large|25 ft.|Str +4, Dex -1, Con +3, Int -5, Wis -1, Cha +0|Notice!+18!15 ranks, -1 Wis, +4 bonus|Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Tough! (x4)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, Scything Armour|+6!(-1 size, +8 base, -1 Dex);+12!(tail blades);+6/--!(-1 size, +8 base, -1 Dex);-1|+16!+2 size, +3 Con, +7 natural, +4 <a href="Feats.php?Name=Tough">Tough</a>;+10!+7 base, +3 Con;+6!+7 base, -1 Dex;+2!+3 base, -1 Wis|A gastonia is a low-slung, armoured beast similar to an ankylosaurus, but smaller, being 15 feet long and weighing about 9,000 pounds. It is heavily armoured with thick bony plates and further protected by bladed spikes that rise up around its shoulder and all down the length of the creature, including its tail. Gastonias are plant-eaters and normally peaceful but they will challenge any Medium-size or larger creature that approaches.|<b>Skills:</b> A gastonia has a +4 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.</p><p><b>Scything Armour:</b> A gastonia is covered with bladed spikes that act in concert to slice at neighboring creatures. Any creature making a melee attack against a gastonia must make a DC 19 Reflex Save or suffer +6 damage (the save DC is Str-based). On a successful save, the attacking creature takes no damage. The gastonia does not need to be aware of its attacker for this ability to take effect.|
Gecko, Giant|1st|Animal||Medium|40 ft., climb 40 ft.|Str +1, Dex +2, Con +1, Int -5, Wis +2, Cha -2|Acrobatics!+10!0 ranks, +2 Dex, +8 bonus;Climb!+22!4 ranks, +1 Str, +8 bonus, +8 Expert Climber;Notice!+2!0 ranks, +2 Wis|Improved Initiative!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>|Expert Climber, <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+2!(+0 base, +2 Dex);+3!(bite);12/--!(+0 base, +2 Dex);+6!(+2 Dex, +4 <a href="Feats.php?Name=Improved%20Initiative">Improved Initiative</a>)|+1!+1 Con;+3!+2 base, +1 Con;+4!+2 base, +2 Dex;+2!+0 base, +2 Wis|Giant geckos are agressive predators with a strong territorial streak. They will rush to attack anything up to Large size that enters their hunting grounds, taking full advantage of their spectacular climbing ability.|<b>Expert Climber:</b> The unique physiology of gecko feet allows geckos to climb any surface, no matter how slick or sheer. This ability provides them with an additional +8 bonus to Climb checks, which stacks with their racial bonus.</p><p><b>Skills:</b> A giant gecko has a +8 racial  bonus on Balance and Climb checks. It can always choose to take 10 on Climb checks, even if rushed or threatened.|
Glowing Frog|2nd|Supernatural Beast||Tiny|10 ft., swim 20 ft.|Str -4, Dex +4, Con +0, Int +1, Wis +3, Cha +2|Concentration!+5!+5 base, +0 Con;Notice!+8!+5 base, +3 Wis;Stealth!+17!+5 base, +4 Dex, +8 size|!<a href="Powers.php">Powers</a> (<a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a>, <a href="Powers.php?Name=Light%20Shaping">Light Shaping</a>),;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>|Glow|+7!(+1 base, +4 Dex, +2 size);-4!(+0 base, -4 Str);17/--!(+1 base, +4 Dex, +2 size);+5|-2!+0 Con, -2 size;+3!+3 base, +0 Con;+7!+3 base, +4 Dex;+3!+0 base, +3 Wis|The glowing frog is a mysterious and revered creature found in swamps and ponds throughout the tropical islands. Though small, their supernatural powers make them potent forces. Glowing frogs often partner with nature spirits to help keep areas clear of unnatural or unwanted visitors.|<b>Glow:</b> A glowing frog emanates various colors from its body, usually as a means of attracting mates, but it can intensify the glow as a standard action sufficient to generate heat. This heat inflicts +2 fire damage on all creatures within 30 feet, unless they succeed on a Difficulty 11 Fortitude save. The save Difficulty is Constitution-based.|
