Name|Description|
Regeneration|A creature with this ability is difficult to kill. Damage dealt to the creature is treated as <a href="CombatDamage.php#NonLethalDamage">non-lethal damage</a>. The creature automatically gains an extra <a href="CombatDamage.php#Recovery">recovery check</a> each round, with the bonus given in the entry. Certain attack forms, typically fire and acid, deal lethal damage to the creature, which doesn't go away. The creature's descriptive text describes the details. A regenerating creature that has been rendered <a href="PlayingConditions.php?Name=Unconscious">unconscious</a> through <a href="CombatDamage.php#NonLethalDamage">non-lethal damage</a> can be killed with a coup de grace. The attack cannot be of a type that automatically converts to <a href="CombatDamage.php#NonLethalDamage">non-lethal damage</a>.</p><p>Attack forms that don't deal physical damage (such as <a href="CreaturesTraits.php?Name=Ability%20Score%20Loss">ability damage or ability drain</a>) ignore regeneration. Regeneration also does not damage caused by starvation, thirst, or suffocation. Regenerating creatures can regrow lost portions of their bodies and can reattach severed limbs or body parts; details are in the creature's descriptive text. Severed parts that are not reattached wither and die normally.</p><p>A creature must have a Constitution score to have regeneration.|
Resistance to Energy|The creature has a bonus to Toughness saving throws against damage of the given energy type (acid, cold, electricity, fire, or sonic) each time the creature is subjected to such damage. The entry indicates the bonus and type of damage affected.|
Scent|This ability allows the creature to detect approaching enemies, sniff out hidden foes, and track by sense of smell. Creatures with the scent ability can identify familiar odors, just as humans do familiar sights.</p><p>The creature can detect opponents within 30 feet by sense of smell. If the opponent is upwind, the range increases to 60 feet; if downwind, it drops to 15 feet. Strong scents can be detected at twice these ranges. Overpowering scents can be detected at triple normal range.</p><p>When a creature detects a scent, the exact location is not revealed--only its presence somewhere within range. The creature can take a move or standard action to note the direction of the scent. If it moves within 5 feet of the source, the creature can pinpoint that source.</p><p>A creature with the scent ability can follow tracks by smell, making a <a href="Skills.php?Name=Survival">Survival</a> check to find or follow a track. The typical Difficulty for a fresh trail is 10 (no matter what kind of surface holds the scent). This Difficulty increases or decreases depending on the strength of the quarry's odor, the number of creatures being tracked, and the age of the trail. For each hour that the trail is cold, the Difficulty increases by 2. The ability otherwise follows the rules for the <a href="Feats.php?Name=Track">Track</a> feat. Creatures tracking by scent ignore the effects of surface conditions and poor visibility.|
Sensitivity|The creature is sensitive to a certain substance and must make a Fortitude save (Difficulty 15) when coming in contact with it to avoid suffering a level of fatigue. The creature must repeat the save attempt every 10 minutes it remains in contact with the substance.|
Supernatural Immunity|A creature with supernatural immunity avoids the effects of supernatural <a href="Powers.php">powers</a> and supernatural abilities used directly on it. This works exactly like supernatural resistance, except that it cannot be overcome. Sometimes supernatural immunity is conditional or applies to only supernatural <a href="Powers.php">powers</a> of a certain kind or power rank.|
Supernatural Resistance|A creature with supernatural resistance can avoid the effects of supernatural powers and supernatural abilities used directly on it. To determine if a supernatural power or ability works against a creature with supernatural resistance, the user must make an adept level check (1d20 + adept level). If the result equals or exceeds the creature's supernatural resistance, the power works normally, although the creature is still allowed a saving throw.|
Summon|A creature with the summon ability can summon other creatures of its kind, but it usually has only a limited chance of success (as specified in the creature's entry). Roll a d20: On a failure, no creature answers the summons. Summoned creatures return whence they came after one hour. A creature that has just been summoned cannot use its own summon ability for 1 hour. Most creatures with the ability to summon do not use it lightly, since it leaves them beholden to the summoned creature. In general, they use it only when necessary to save themselves.|
Swallow Whole|If a creature with this special attack begins its turn with an opponent <a href="PlayingConditions.php?Name=Grappled">grappled</a> in its mouth (see the <a href="Feats.php?Name=Improved%20Grab">Improved Grab</a> feat), it can attempt to swallow that opponent by making a new <a href="CombatActions.php?Name=Grapple">grapple</a> check. If it succeeds, it swallows its prey, and the opponent takes bite damage. Unless otherwise noted, the opponent can be up to one <a href="CharGenSize.php">size category</a> smaller than the creature. Being swallowed has various consequences, depending on the creature doing the swallowing. A swallowed creature is considered <a href="PlayingConditions.php?Name=Grappled">grappled</a>, while the creature that did the swallowing is not.</p><p>A swallowed creature can try to cut its way free with any light slashing or piercing weapon by inflicting a <a href="PlayingConditions.php?Name=Wounded">wounded</a> status or worse on the damage track to the swallowing creature, or it can just try to escape the <a href="PlayingConditions.php?Name=Grappled">grapple</a>. The <a href="Combat.php#BaseDefense">defense</a> of the interior of the creature is 10 unless otherwise noted, and modifiers for <a href="CharGenSize.php">size</a> or Dexterity do not apply. The Toughness save of the interior of a creature that swallows whole is normally only its Constitution score, with no modifiers for <a href="CharGenSize.php">size</a>. If the swallowed creature escapes the <a href="PlayingConditions.php?Name=Grappled">grapple</a>, success puts it back in the attacker's mouth, where it may be bitten or swallowed again.|
Trample|As a full-round action, a creature with this special attack can move up to twice its speed and literally run over any opponents at least one <a href="CharGenSize.php">size category</a> smaller than itself. The creature merely has to move over the opponents in its path.</p><p>A trample attack deals bludgeoning damage (the creature's slam damage + 1.5 times its Strength score). The creature's descriptive text gives the exact amount.</p><p>Trampled opponents can attempt Reflex saves to take half damage. This is considered an <a href="CombatModifiers.php?Name=Area%20Attack">area attack</a> for purposes of Evasion and similar traits.</p><p>The save Difficulty against a creature's trample attack is 10 + 1/2 creature's level + creature's Strength score. A trampling creature can only deal trampling damage to each target once per round, no matter how many times its movement takes it over a target creature.|
Tremorsense|A creature with tremorsense is sensitive to vibrations in the ground and can automatically pinpoint the location of anything that is in contact with the ground. Aquatic creatures with tremorsense can also sense the location ofcreatures moving through water. The ability's range is specified in the creature's descriptive text.|
Vulnerability to Energy|Some creatures have vulnerability to a certain kind of energy effect (typically either cold or fire). Such a creature takes half again as much (+50%) damage as normal from the effect, regardless of whether a saving throw is allowed, or if the save is a success or failure. 
