Name|Time|Type|Description|
Mental Grapple|Standard|Basic|Characters with the <a href="Powers.php?Name=Mind%20Link">Mind Link</a> or <a href="Powers.php?Beast%20Link">Beast Link</a> powers can grapple an opponent mentally rather than physically, a struggle of mind against mind. Mental grappling uses the same system as <a href="CombatActions.php?Name=Grapple">physical grappling</a>, with the following differences:</p><ul><li>A mental grapple requires a successful use of <a href="Powers.php?Name=Mind%20Link">Mind Link</a> or <a href="Beast%20Link">Beast Link</a> to establish mental contact. Mental grapples do not require physical contact, but do require a standard action each round, as usual. If the attacker stops maintaining the power at any time, the mental grapple ends.</li><li>Mental grapple checks are d20 + the character's Will save or the character's <a href="Powers.php?Name=Mind%20Link">Mind Link</a>, <a href="Beast%20Link">Beast Link</a> or <a href="Powers.php?Name=Psychic%20Shield">Psychic Shield</a> bonus (whichever is greater). Strength modifiers do not apply.</li><li>You cannot move or throw an opponent using a mental grapple, only damage or pin.</li><li>Damage inflicted by a mental grapple is based on the attacker's Wisdom bonus rather than Strength bonus. A mental grapple always inflicts <a href="CombatDamage.php#NonLethalDamage">non-lethal damage</a>.</li><li>Anyone in a mental grapple may not use their <a href="Combat.php#Dodge">Dodge</a> or <a href="Combat.php#Parry">Parry</a> values against any opponents, even the one they are mentally grappling, due to the distraction. They use their <a href="Combat.php#BaseDefense">Base Defense</a> instead.</li><li>Anyone involved in a mental grapple must make a <a href="Skills.php?Name=Concentration">Concentration</a> check (Difficulty 20) to do anything else without first escaping the mental grapple. A character can take a different standard action by forgoing the mental grapple check for that round, but then automatically loses the opposed mental grapple check for the round.</li><li>The winner of a mental grapple can choose to break off mental contact, even if another character established it.</li></ul>|
Normal Move|Move|Basic|The simplest move action is moving your speed. Many nonstandard modes of movement are also covered under this category, including climbing and swimming (up to one-quarter the character's speed), and crawling (up to 5 feet).|
Move All Out|Full|Basic|You can move all out as a full action. When you do so, you move up to four times your speed in a fairly straight line.</p><p>You can move all out for a number of rounds equal to 10 plus double your Constitution. After that, you must succeed at a Constitution check (Difficulty 10) to continue moving all out. You must check again each round, and the Difficulty increases by +1 for each check. When you fail a check, you become fatigued and must drop to an accelerated or normal pace.|
Overrun|Standard|Maneuver|As a standard action taken during your move, or as part of a <a href="CombatActions.php?Name=Charge">charge</a>, you can attempt to overrun your target, moving through its square.</p><p>When you attempt to overrun a target, it can choose to avoid you, allowing you to pass through its square without requiring an attack. If your target does not avoid you, make a <a href="Combat.php#ManeuverBonus">combat maneuver roll</a> as normal. If your attempt is successful, you move through the target's space. If your attempt exceeds the Difficulty by 5 or more, you move through the target's space and the target is knocked <a href="PlayingConditions.php?Name=Prone">prone</a>. If the target has more than two legs, add +2 to the Difficulty of the combat maneuver roll for each additional leg it has.|
Ready|Standard|Basic|Readying lets you prepare to take an action later, after you would normally act on your initiative, but before your initiative on your next turn. Readying is a standard action, so you can move as well.</p><p>You can ready a single <a href="CombatActions.php?Time=Standard">standard</a> or <a href="CombatActions.php?Time=Move">move</a> action. To do so, specify the action you will take and the circumstances under which you will take it. Then, any time before your next action, you may take the readied action as a reaction to those circumstances. For the rest of the fight, your initiative result is the count on which you took the readied action.</p><p>Your initiative result becomes the count on which you took the readied action. If you come to your next action and have not yet performed your readied action, you don't get to take the readied action (though you can ready the same action again).|
Recover|Full|Basic|You can spend <a href="BasicsConviction.php">Conviction</a> to use a full action to recover from damage in combat. One point of <a href="BasicsConviction.php">Conviction</a> allows you to make an immediate <a href="CombatDamage.php#Recovery">recovery check</a> as a full-round action.|
Speak|Free|Basic|In general, speaking is a free action. Some Narrators may limit the amount you can say during your turn, although characters can generally say quite a bit in the midst of combat, especially if they're tossing off witty quips. Issuing orders to followers in combat is a move action (<a href="CombatActions.php?Name=Command">Command</a>).|
Stand Up|Move|Basic|Standing up from a prone position requires a move action.|
Sunder|Standard|Maneuver|You can attempt to sunder an item held or worn by your opponent as part of a standard action. You must be wielding a weapon or possess the <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> feat to attempt a sunder.</p><p>Make a <a href="Combat.php#ManeuverBonus">combat maneuver check</a>. If your attempt is successful, you <a href="CombatDamage.php#Objects">deal damage to the item</a> normally.|
Total Defense|Standard|Basic|Instead of attacking, you can use your standard action to avoid attacks that round. You don't get to attack or perform any other standard action, but you get a +4 to both your <a href="Combat.php#Dodge">Dodge</a> and your <a href="Combat.php#Parry">Parry</a> for the round.|
Trip|Standard|Maneuver|You can attempt to trip an opponent as a standard action. You may use either your <a href="Combat.php#ManeuverBonus">maneuver bonus</a> or your <a href="Combat.php#AttackBonus">attack bonus</a> with the weapon you are using (if any) to make a trip attempt. If your attempt is successful, the target is knocked <a href="PlayingConditions.php?Name=Prone">prone</a>. If your attempt fails by 10 or more, you are knocked <a href="PlayingConditions.php?Name=Prone">prone</a> instead. If the target has more than two legs, add +2 to the Difficulty of the combat maneuver roll for each additional leg it has. Some creatures, such as oozes without legs and flying creatures, cannot be tripped.|.
