Name|Condition|
Hurt|The character has suffered minor damage, but takes no ill effects.|
Invisible|An invisible character is virtually undetectable. Invisible characters gain a +2 bonus to hit defenders unaware of them, and such defenders cannot use their <a href="Combat.php#Dodge">Dodge</a> or <a href="Combat.php#Parry">Parry</a>. Attacks against invisible characters have a 50% miss chance.|
Nauseated|Nauseated characters can only take a single move action each round, meaning they are unable to attack (or take other standard actions) or move all out (or take other full-round actions).|
Normal|The character is unharmed and unaffected by other conditions, acting normally.|
Panicked|A panicked character flees as fast as possible or cowers, <a href="PlayingConditions.php?Name=Dazed">dazed</a>, if unable to get away. A panicked character defends normally but cannot attack.|
Paralyzed|A paralyzed character stands rigid and <a href="PlayingConditions.php?Name=Helpless">helpless</a>, unable to move or act physically. Strength and Dexterity are debilitated, but the character may take purely mental actions. A paralyzed character's Defense score is 5, the same as an inanimate object.|
Pinned|A pinned creature is tightly bound and can take few actions. A pinned creature cannot move and is <a href="PlayingConditions.php?Name=Flat-Footed">flat-footed</a>. A pinned character also takes an additional -4 penalty to his Defense. A pinned creature is limited in the actions that it can take. A pinned creature can always attempt to free itself, usually through a <a href="Combat.php#ManeuverBonus">combat maneuver check</a> or <a href="Skills.php?Name=Escape%20Artist">Escape Artist</a> check. A pinned creature can take verbal and mental actions, but cannot cast any spells that require a somatic or material component. A pinned creature that attempts to use a <a href="Powers.php">supernatural power</a> must make a <a href="Skills.php?Name=Concentration">Concentration check</a> (Difficulty 10 + the power's rank) or the power fails to manifest. Pinned is a more severe version of <a href="PlayingConditions.php?Name=Grappled">grappled</a>.|
Prone|The character is lying on the ground. He suffers a -4 penalty on melee attack rolls. Opponents receive a +4 bonus on melee attacks against him but a -4 penalty on ranged attacks. Standing up is a move action.|
Shaken|A shaken character has a -2 penalty on attack rolls, <a href="BasicsSavingThrows.php">saving throws</a>, and checks.|
Sickened|A sickened character has a -2 penalty on attack rolls and checks.|
Slowed|A slowed character can only take a standard or move action each round (not both). The character takes a -1 penalty on attack rolls, <a href="Combat.php#BaseDefense">base Defense</a>, and Reflex saves. A slowed character moves at half normal speed. A slowed character can move at full speed and attack only by charging.|
Stable|A stable character is no longer <a href="PlayingConditions?Name=Dying">dying</a>, but is still <a href="PlayingConditions?Name=Unconscious">unconscious</a> and <a href="PlayingConditions?Name=Disabled">disabled</a> and must recover from those conditions normally.|
Staggered|A staggered character is unable to act for one full round after suffering a disabled result. For that round, they can take no actions other than reactions, and cannot use <a href="Combat.php#Dodge">Dodge</a> or <a href="Combat.php#Parry">Parry</a>. The character can use a <a href="BasicsConviction.php">Conviction point</a> to ignore this limitation. In the following rounds, staggered characters can only take a standard or a move action, not both. The character can spend a <a href="BasicsConviction.php">Conviction point</a> per round to act normally that round.|
Stunned|The character cannot use <a href="Combat.php#Dodge">Dodge</a> or <a href="Combat.php#Parry">Parry</a>, takes a -2 modifier to their <a href="Combat.php#BaseDefense">base Defense</a>, and cannot take actions other than reactions.|
Unconscious|An unconscious character has been knocked out and is <a href="PlayingConditions.php?Name=Helpless">helpless</a>.|
Wounded|Wounded characters may only take a single action each round. They can use a move action or a standard action, but not both. Wounded characters may spend a conviction point to take one of each action in a single round.|
